dataset,noise_type,NL,model,accuracy,accuracy_percent
DREAMER,Gaussian,0.1,DA-SNN,0.8845,88.44999999999999
DREAMER,Gaussian,0.1,DH-SNN,0.8357,83.57
DREAMER,Gaussian,0.1,EEGNet,0.8177,81.77
DREAMER,Gaussian,0.125,DA-SNN,0.8656,86.56
DREAMER,Gaussian,0.125,DH-SNN,0.7798,77.98
DREAMER,Gaussian,0.125,EEGNet,0.774,77.4
DREAMER,Drift,0.0,DA-SNN,0.9418,94.17999999999999
DREAMER,Drift,0.0,DH-SNN,0.8989,89.89
DREAMER,Drift,0.0,EEGNet,0.8645,86.45
DREAMER,Drift,0.01,DA-SNN,0.9416,94.16
DREAMER,Drift,0.01,DH-SNN,0.8984,89.84
DREAMER,Drift,0.01,EEGNet,0.8623,86.22999999999999
DREAMER,Drift,0.03,DA-SNN,0.9384,93.84
DREAMER,Drift,0.03,DH-SNN,0.8952,89.52
DREAMER,Drift,0.03,EEGNet,0.8621,86.21
DREAMER,Drift,0.05,DA-SNN,0.9317,93.17
DREAMER,Drift,0.05,DH-SNN,0.8884,88.84
DREAMER,Drift,0.05,EEGNet,0.8428,84.28
DREAMER,Drift,0.08,DA-SNN,0.9301,93.01
DREAMER,Drift,0.08,DH-SNN,0.8766,87.66000000000001
DREAMER,Drift,0.08,EEGNet,0.8422,84.22
DREAMER,Drift,0.1,DA-SNN,0.9017,90.16999999999999
DREAMER,Drift,0.1,DH-SNN,0.8617,86.17
DREAMER,Drift,0.1,EEGNet,0.8229,82.28999999999999
DREAMER,Drift,0.125,DA-SNN,0.8933,89.33
DREAMER,Drift,0.125,DH-SNN,0.815,81.5
DREAMER,Drift,0.125,EEGNet,0.7986,79.86
DREAMER,EMG,0.0,DA-SNN,0.9418,94.17999999999999
DREAMER,EMG,0.0,DH-SNN,0.8989,89.89
DREAMER,EMG,0.0,EEGNet,0.8645,86.45
DREAMER,EMG,0.01,DA-SNN,0.9389,93.89
DREAMER,EMG,0.01,DH-SNN,0.8977,89.77000000000001
DREAMER,EMG,0.01,EEGNet,0.864,86.4
DREAMER,EMG,0.03,DA-SNN,0.9374,93.74
DREAMER,EMG,0.03,DH-SNN,0.8918,89.18
